VPC ID,Structure,SMILES,Mol Weight,IC50_eGFP,PSA IC50 (uM),% Growth@50uM (MTS),% Peptide Displacement@50uM (FP),% AR Inhibition@50/25uM (eGFP),% AR Inhibition@3uM (eGFP),CV_eGFP (50uM),CV_eGFP (3uM),CV_FP,Half Life,,U-shaper,
13621,,Brc1c2[nH]cc(-c3nc4c(cc3)cccc4)c2ccc1.Cl,359.65,0.00,0.01,,,,,,,,13.00,,1,
13566,,Cc1c2[nH]cc(-c3nc4c(cc3)cccc4)c2ccc1,258.32,0.10,0.09,,,,,,,,29.00,,,
13610,,Fc1c2[nH]cc(-c3nc4c(cc3)cccc4)c2cc(F)c1,280.28,0.00,0.01,,,,,,,,27.00,,1,
13642,,Clc1c(F)ccc2c(-c3nc4c(cc3)cccc4)c[nH]c12,296.73,0.00,0.03,,,,,,,,11.00,,1,
13676,,c1(-c2cc3c(cc2)cccc3)c2c([nH]c1)nccc2,244.30,0.10,0.03,,,,,,,,13.00,,1,
13737,,Brc1ccc(-c2c3ncccc3[nH]c2)cc1,273.13,0.10,0.04,,,,,,,,12.00,,1,
13585,,Cc1c2[nH]cc(-c3nc4c(nc3)cccc4)c2ccc1,259.31,0.10,0.03,,,,,,,,37.00,,1,
13582,,Brc1c2[nH]cc(-c3nc4c(cc3)cccc4)c2ccc1,323.19,0.10,0.06,,,,,,,,32.00,,1,
13624,,Clc1c2[nH]cc(-c3nc4c(cc3)cccc4)c2cc(F)c1,296.73,0.10,0.04,,,,,,,,23.00,,1,
13579,,c1(-c2nc3c(cc2)cccc3)n[nH]c2c1cccc2,245.29,0.10,0.04,,,,,,,,41.00,,1,
13576,,Fc1cc2[nH]cc(-c3nc4c(cc3)cccc4)c2cc1,262.29,0.10,0.05,,,,,,,,20.00,,0,
13584,,Cc1c2[nH]nc(-c3nc4c(cc3)cccc4)c2ccc1,259.31,0.10,0.05,,,,,,,,47.00,,1,
13674,,c1(-c2cc3c(cc2)cccc3)n[nH]c2c1cccc2,244.30,0.10,0.05,,,,,,,,43.00,,0,
13716,,Brc1ccc(-c2c3c([nH]c2)nccc3)cc1,273.13,0.10,0.06,,,,,,,,14.50,,0,
13738,,Brc1ccc(-c2c3c(c([N+](=O)O)ccc3)[nH]c2)cc1,318.15,0.10,0.06,,,,,,,,37.00,,0,
13694,,Clc1c2[nH]cc(-c3nc4c(cc3)ccc(F)c4)c2ccc1,296.73,0.10,0.07,,,,,,,,46.00,,1,
13688,,Fc1c2nc(-c3c4c([nH]c3)cccc4)ccc2ccc1,262.29,0.10,0.07,,,,,,,,30.00,,,
13699,,Cc1c2[nH]cc(-c3nc4c(nc3)cccc4)c2ccc1,259.31,0.10,0.07,,,,,,,,,,1,
13622,,Clc1c2[nH]cc(-c3nc4c(cc3)cccc4)c2ccc1.Cl,315.20,0.10,0.08,,,,,,,,17.00,,0,
13692,,Fc1c2nc(-c3c4c(c(C)ccc4)[nH]c3)ccc2ccc1,276.31,0.10,0.08,,,,,,,,58.50,,,
13591,,Cc1c2[nH]cc(-c3cc4c(cc3)cccc4)c2ccc1,257.34,0.00,0.03,,,,,,,,23.00,,1,
13607,,Fc1c(C)c2[nH]cc(-c3nc4c(cc3)cccc4)c2cc1,276.31,0.20,0.09,,,,,,,,26.00,,0,
13695,,Fc1c2[nH]cc(-c3nc4c(F)cccc4cc3)c2cc(F)c1,298.27,0.10,0.09,,,,,,,,41.00,,1,
13703,,c1(-c2cc3c(cc2)cccc3)c2ncccc2[nH]c1,244.30,0.10,0.10,,,,,,,,16.00,,0,
13594,,Cc1c2c(nc(-c3c4c(c(C)ccc4)[nH]c3)c1)cccc2,272.35,0.20,0.10,,,,,,,,9.00,,0,
13677,,Brc1c2nc(-c3c4c(c(C)ccc4)[nH]c3)ccc2ccc1,337.22,0.20,0.11,,,,,,,,144.00,,1,
13718,,Fc1cc(C)c2[nH]nc(-c3nc4c(nc3)ccc(F)c4)c2c1,296.28,0.10,0.11,,,,,,,,,,0,
13693,,Fc1c(F)cc2[nH]cc(-c3nc4c(c(F)ccc4)cc3)c2c1,298.27,0.10,0.12,,,,,,,,39.00,,1,
13611,,Fc1cc2nc(-c3c4c(c(C)ccc4)[nH]c3)ccc2cc1,276.31,0.10,0.12,,,,,,,,53.00,,0,
13593,,Clc1c2nc(-c3c4c(c(C)ccc4)[nH]c3)ccc2ccc1,292.77,0.20,0.13,,,,,,,,105.00,,1,
13618,,Fc1c(F)ccc2c(-c3nc4c(cc3)cccc4)c[nH]c12,280.28,0.20,0.13,,,,,,,,10.00,,1,
13719,,Fc1c(F)c2[nH]cc(-c3nc4c(c(C(=O)NC)ccc4)cc3)c2cc1F,355.32,0.10,0.13,,,,,,,,72.30,,0,
13597,,O=C(NC)c1c2c(nc(-c3c4c(c(C)ccc4)[nH]c3)cc2)ccc1,315.38,0.20,0.13,,,,,,,,59.00,,0,
13562,,c1(-c2c3c([nH]c2)cccc3)nc2c(cc1)cccc2,244.30,0.10,0.14,,,,,,,,,,0,
13702,,O=[N+]([O-])c1c2[nH]cc(-c3cc4c(cc3)cccc4)c2ccc1,288.31,0.20,0.14,,,,,,,,11.00,,0,
13643,,Cc1c2[nH]cc(-c3cnc4c(c3)cccc4)c2ccc1,258.32,0.20,0.15,,,,,,,,18.00,,0,
13654,,Cc1c2[nH]cc(-c3cnc4c(c3)cccc4)c2ccc1,258.32,0.90,0.16,,,,,,,,,,0,
13601,,Fc1cc(C)c2[nH]cc(-c3nc4c(cc3)cccc4)c2c1,276.31,0.20,0.17,,,,,,,,66.00,,0,
13704,,Fc1cc(C)c2[nH]nc(-c3nc4c(cc3)ccc(F)c4)c2c1,295.29,0.40,0.17,,,,,,,,80.00,,0,
13602,,FC(F)(F)c1c2c(nc(-c3c4c(c(C)ccc4)[nH]c3)cc2)ccc1,326.32,0.20,0.18,,,,,,,,75.00,,0,
13730,,Fc1cc(C#N)c2[nH]cc(-c3nc4c(cc3)ccc(F)c4)c2c1,305.29,0.10,0.20,,,,,,,,158.00,,0,
13665,,Clc1c2nc(-c3c4c(c(C)c(F)cc4)[nH]c3)ccc2ccc1,310.76,0.30,0.21,,,,,,,,186.00,,0,
13646,,Fc1c(C)c2[nH]cc(-c3nc4c(cc3)ccc(F)c4)c2cc1,294.31,0.20,0.23,,,,,,,,103.00,,0,
13567,,C(C)c1c2[nH]cc(-c3nc4c(cc3)cccc4)c2ccc1,272.35,0.20,0.23,,,,,,,,,,0,
13645,,Fc1c(F)cc2[nH]cc(-c3nc4c(c(C(=O)NC)ccc4)cc3)c2c1,337.33,0.30,0.24,,,,,,,,61.00,,0,
13710,,Fc1cc(C)c2[nH]cc(-c3nc4c(c(C(=O)NC)ccc4)cc3)c2c1,333.37,0.20,0.25,,,,,,,,47.90,,0,
13731,,Fc1cc(C#N)c2[nH]cc(-c3nc4c(c(C(=O)NC)ccc4)cc3)c2c1,344.35,0.30,0.26,,,,,,,,114.00,,0,
13653,,Brc1c2[nH]cc(-c3cnc4c(c3)cccc4)c2ccc1,323.19,1.10,0.29,,,,,,,,,,0,
13708,,Fc1c2nc(-c3c4c(c(C)cc(F)c4)[nH]c3)ccc2ccc1,294.31,0.30,0.29,,,,,,,,90.00,,0,
13717,,Fc1cc(C)c2[nH]cc(-c3nc4c(nc3)ccc(F)c4)c2c1,295.29,0.40,0.33,,,,,,,,120.60,,0,
